matches,fare_amount,duration,passenger_count,tpep_pickup_datetime,pickup_latitude,pickup_longitude,cars combined,new fare,driver cost saved,new duration,fare difference,duration difference,profit difference
"[132, 134]",14.0,12.333333333333332,2,2016-06-06 00:44:03,40.73329162597656,-73.99117279052734,2,14,3.083333333333333,16.333333333333332,0.0,4.0,3.083333333333333
"[35, 40]",30.5,30.25,2,2016-06-06 00:13:23,40.72477722167969,-73.98351287841797,2,14,7.5625,34.25,-16.5,4.0,-8.9375
"[37, 41]",33.5,35.016666666666666,2,2016-06-06 00:13:40,40.71830749511719,-73.98823547363281,2,14,8.754166666666666,39.016666666666666,-19.5,4.0,-10.745833333333334
"[62, 68]",10.5,9.5,2,2016-06-06 00:20:50,40.72106552124024,-73.9939727783203,2,14,2.375,13.5,3.5,4.0,5.875
"[71, 84]",13.0,9.033333333333333,4,2016-06-06 00:24:13,40.754554748535156,-73.98365783691406,2,28,2.2583333333333333,17.03333333333333,15.0,7.999999999999998,17.258333333333333
"[80, 90]",18.5,23.683333333333337,4,2016-06-06 00:26:53,40.72431945800781,-73.99748229980467,2,28,5.920833333333334,31.683333333333337,9.5,8.0,15.420833333333334
"[87, 95]",8.5,5.716666666666667,3,2016-06-06 00:29:08,40.74792098999024,-73.98697662353516,2,21,1.4291666666666667,11.716666666666667,12.5,6.0,13.929166666666667
"[99, 110]",16.5,15.600000000000001,3,2016-06-06 00:31:52,40.74048614501953,-74.00839233398438,2,21,3.9000000000000004,21.6,4.5,6.0,8.4
"[100, 101]",13.0,12.216666666666667,3,2016-06-06 01:25:13,40.73997116088867,-74.00588226318358,2,21,3.0541666666666667,18.21666666666667,8.0,6.000000000000002,11.054166666666667
"[123, 130]",14.5,11.083333333333334,2,2016-06-06 01:38:15,40.74954605102539,-73.99537658691406,2,14,2.7708333333333335,15.083333333333334,-0.5,4.0,2.2708333333333335
"[2, 4]",16.5,15.533333333333331,3,2016-06-06 00:50:28,40.75910949707031,-73.98651885986328,2,21,3.883333333333333,21.53333333333333,4.5,6.0,8.383333333333333
"[27, 34]",46.5,49.233333333333334,3,2016-06-06 00:58:38,40.73947143554688,-74.01000213623048,2,21,12.308333333333334,55.233333333333334,-25.5,6.0,-13.191666666666666
"[29, 35]",33.5,34.63333333333333,2,2016-06-06 01:00:20,40.75842666625977,-73.98894500732422,2,14,8.658333333333333,38.63333333333333,-19.5,4.0,-10.841666666666667
"[36, 38]",20.0,17.05,2,2016-06-06 01:01:35,40.76315307617188,-73.96831512451173,2,14,4.2625,21.05,-6.0,4.0,-1.7374999999999998
"[57, 61]",14.5,13.366666666666667,2,2016-06-06 01:08:55,40.7523193359375,-73.9859390258789,2,14,3.341666666666667,17.366666666666667,-0.5,4.0,2.841666666666667
"[87, 91]",21.5,23.9,2,2016-06-06 01:19:09,40.75027847290039,-73.99459075927734,2,14,5.975,27.9,-7.5,4.0,-1.5250000000000004
"[1, 3]",14.0,12.966666666666667,2,2016-06-06 01:51:47,40.76401901245117,-73.98851013183594,2,14,3.2416666666666667,16.96666666666667,0.0,4.000000000000002,3.2416666666666667
"[73, 74]",36.5,33.45,2,2016-06-06 02:57:07,40.731300354003906,-73.9822769165039,2,14,8.3625,37.45,-22.5,4.0,-14.1375
"[114, 123]",15.5,12.866666666666667,2,2016-06-06 05:40:55,40.75581359863281,-73.99105072021484,2,14,3.216666666666667,16.866666666666667,-1.5,4.0,1.7166666666666668
"[120, 124]",13.5,10.066666666666666,2,2016-06-06 05:42:22,40.769927978515625,-73.95162963867188,2,14,2.5166666666666666,14.066666666666666,0.5,4.0,3.0166666666666666
"[121, 127]",21.0,17.666666666666664,2,2016-06-06 05:42:51,40.778823852539055,-73.95610809326173,2,14,4.416666666666666,21.666666666666664,-7.0,4.0,-2.583333333333334
"[126, 134]",10.5,7.1499999999999995,2,2016-06-06 05:45:32,40.740501403808594,-73.98665618896483,2,14,1.7874999999999999,11.149999999999999,3.5,3.999999999999999,5.2875
"[13, 15]",9.5,6.666666666666667,3,2016-06-06 04:15:11,40.74161911010742,-74.00482940673827,2,21,1.6666666666666667,12.666666666666668,11.5,6.000000000000001,13.166666666666666
"[135, 137]",25.0,19.183333333333334,3,2016-06-06 05:49:36,40.79280471801758,-73.94596099853516,2,21,4.795833333333333,25.183333333333334,-4.0,6.0,0.7958333333333334
"[89, 92]",18.0,15.133333333333335,2,2016-06-06 05:25:21,40.78089141845703,-73.94886779785155,2,14,3.7833333333333337,19.133333333333333,-4.0,3.9999999999999982,-0.21666666666666634
"[107, 113]",10.5,7.65,2,2016-06-06 06:27:10,40.74548721313477,-73.9847640991211,2,14,1.9125,11.65,3.5,4.0,5.4125
"[112, 118]",16.5,13.883333333333333,2,2016-06-06 06:28:13,40.77393341064453,-73.95460510253906,2,14,3.470833333333333,17.883333333333333,-2.5,4.0,0.9708333333333332
"[12, 17]",12.5,11.266666666666666,3,2016-06-06 06:01:03,40.756019592285156,-73.99098205566406,2,21,2.8166666666666664,17.266666666666666,8.5,6.0,11.316666666666666
"[129, 134]",9.0,6.1000000000000005,2,2016-06-06 06:32:21,40.75715637207031,-73.99011993408203,2,14,1.5250000000000001,10.100000000000001,5.0,4.000000000000001,6.525
"[131, 143]",12.5,11.833333333333332,2,2016-06-06 06:33:25,40.75645446777344,-73.989990234375,2,14,2.958333333333333,15.833333333333332,1.5,4.0,4.458333333333333
"[138, 141]",14.0,10.283333333333333,2,2016-06-06 06:35:22,40.73165130615234,-74.00099182128906,2,14,2.5708333333333333,14.283333333333333,0.0,4.0,2.5708333333333333
"[33, 35]",10.5,6.466666666666667,2,2016-06-06 06:07:20,40.75410461425781,-73.98827362060547,2,14,1.6166666666666667,10.466666666666667,3.5,4.0,5.116666666666667
"[50, 65]",22.0,21.066666666666666,2,2016-06-06 06:12:26,40.77645492553711,-73.95292663574219,2,14,5.266666666666667,25.066666666666666,-8.0,4.0,-2.7333333333333334
"[51, 53]",26.0,23.1,3,2016-06-06 06:12:47,40.76998901367188,-73.9515609741211,2,21,5.775,29.1,-5.0,6.0,0.7750000000000004
"[6, 21]",15.5,13.55,2,2016-06-06 05:59:24,40.76679229736328,-73.95988464355469,2,14,3.3875,17.55,-1.5,4.0,1.8875000000000002
"[69, 75]",17.5,17.633333333333333,2,2016-06-06 06:18:01,40.77667617797852,-73.98918151855469,2,14,4.408333333333333,21.633333333333333,-3.5,4.0,0.9083333333333332
"[74, 95]",15.0,11.666666666666666,2,2016-06-06 06:20:04,40.78916931152344,-73.94849395751955,2,14,2.9166666666666665,15.666666666666666,-1.0,4.0,1.9166666666666665
"[81, 82]",28.5,26.35,4,2016-06-06 06:22:04,40.73714065551758,-73.9928207397461,2,28,6.5875,34.35,-0.5,8.0,6.0875
